name,address,locality,coordinates.latitude+,coordinates.longitude+,hours.sun,hours.mon,hours.tue,hours.wed,hours.thu,hours.fri,hours.sat
12th & Broadway Restaurant,"999 Park Boulevard, San Diego 92101",East Village,32.715656,-117.153601,,,,,,,
Achiote,"4419 Camino De La Plz, San Ysidro 92173",San Ysidro,32.545263,-117.03993,,,,,,,
Achiote,"4211 Camino De La Plz, San Diego 92173",San Ysidro,32.545263,-117.042361,,,,,,,
Adalberto's Mexican Food,"1868 Rosecrans Street, San Diego 92106",Point Loma,32.73073,-117.224222,,,,,,,
Adalberto's Mexican Food,"2498 Market St, San Diego 92102",Logan Heights/Sherman Heights,32.711737,-117.140477,,,,,,,
Agave Del Mar,"1555 Camino Del Mar Ste 322, Del Mar 92014",Del Mar,32.960558,-117.264508,,,,,,,
Aiberto's Taco Shop,"12711 Poway Rd, Poway 92064",Poway,32.95501,-117.055617,,,,,,,
Aidas Pan de Sal,"9766 Campo Rd, Spring Valley 91977",Spring Valley,32.748137,-116.985917,,,,,,,
Alamilla's Mexican Food,"1350 6th Avenue, San Diego 92101",Core-Columbia,32.719355,-117.159462,,,,,,,
Alamo,"2543 Congress St, San Diego 92110",Old Town,32.752998,-117.194969,,,,,,,
AlanBertos,"6101 University Ave, San Diego 92115",Rolando/Redwood Village,32.752829,-117.064268,,,,,,,
Albertaco's Mexican Food,"6685 El Cajon Blvd, San Diego 92115",College Area,32.768166,-117.054434,,,,,,,
Alberto Taco Shop Mariscos,"2810 El Cajon Boulevard, San Diego 92104",North Park,32.755537,-117.133554,,,,,,,
Alberto's Mexican Food,"6101 University Avenue, San Diego 92115",Rolando/Redwood Village,32.752829,-117.064268,,,,,,,
Alberto's Mexican Food,"1290 Hollister Street, San Diego 92154",Egger Highlands,32.5732622,-117.0845835,,,,,,,
Alberto's Mexican Food,"365 N Rose Street, Escondido 92027",Escondido,33.133532,-117.059388,,,,,,,
Albertos Taco Shop,"3894 41st St, San Diego 92105",City Heights East,32.749486,-117.107073,,,,,,,
Alberto's Taco Shop,"1183 13th Street, Imperial Beach 91932",Imperial Beach,32.575086,-117.105536,,,,,,,
Albert's Mexican Food,"1177 C Street, San Diego 92101",East Village,32.716663,-117.154013,,,,,,,
Albert's Mexican Food,"1530 Jamacha Road, El Cajon 92019",El Cajon,32.768257,-116.928004,,,,,,,
Alfonsos,"1529 Fern St, San Diego 92102",Golden Hill/South Park,32.72165,-117.129136,,,,,,,
Alfonso's of La Jolla,"1251 Prospect Street, La Jolla 92037",La Jolla,32.849062,-117.271559,,,,,,,
Alfonso's of la Jolla,"4045 Bonita Rd, Bonita 91902",Bonita,32.658793,-117.039789,,,,,,,
Aliberto's,"14829 Pomerado Rd, Poway 92064",Poway,32.980806,-117.062135,,,,,,,
Alvaro's Mexican Food,"12608 Sabre Springs Pkwy, San Diego 92128",Scripps Ranch,32.947486,-117.096064,,,,,,,
Amigo Spot,"1333 Hotel Cir S, San Diego 92108",Mission Hills,32.758896,-117.176002,,,,,,,
Amorcito Corazón Mexican Bistro - North Park,"3442 30th Street, San Diego 92104",North Park,32.741926,-117.1302675,,,,,,,
Añejo Bar & Grill,"329 W. Felicita, Escondido 92025",Escondido,33.104292,-117.073546,,,,,,,
Angela's Mexican Food,"1293 Imperial Beach Blvd, Imperial Beach 91932",Imperial Beach,32.576363,-117.105906,,,,,,,
Antonio's Mexican Food,"1755 E Valley Pkwy, Escondido 92027",Escondido,33.135285,-117.056204,,,,,,,
Ariana,"718 jefferson ave. #B, San Diego 92110",Mission Hills,32.74892,-117.192589,,,,,,,
Armando's Mexican Food,"2295 Palm Ave, San Diego 92154",Egger Highlands,32.583663,-117.084347,,,,,,,
Armando's Taco Shop,"10066 Pacific Heights Blvd, San Diego 92121",Sorrento Valley,32.901104,-117.192819,,,,,,,
Arriero's,"431 W 13th Ave, Escondido 92025",Escondido,33.1081695,-117.0787509,,,,,,,
Asada Taco Shop,"4340 Main Street, Chula Vista 91911",Chula Vista,32.594699,-117.039361,,,,,,,
Azteca Mexican,"11277 Camino Ruiz, San Diego 92126",Mira Mesa,32.9268457,-117.1439894,,,,,,,
Bahia Don Bravo,"5504 La Jolla Boulevard, La Jolla 92037",La Jolla,32.812512,-117.268524,,,,,,,
Bahia Grill Mexican,"909 Grand Avenue, San Diego 92109",Pacific Beach,32.794928,-117.252772,,,,,,,
Bahia Mexican,"1985 El Cajon Blvd, San Diego 92104",University Heights,32.755063,-117.144086,,,,,,,
Baja Beach Cafe,"701 Thomas Avenue, San Diego 92109",Pacific Beach,32.793283,-117.255596,,,,,,,
Baja Betty's,"1421 University Avenue, San Diego 92103",Hillcrest,32.748263,-117.150723,,,,,,,
Baja Oyster and Sushi Bar,"1912 Coronado Ave, San Diego 92154",Egger Highlands,32.576637,-117.09235,,,,,,,
Banzai Bar,"3048 Midway Drive, San Diego 92110",East Village,32.750442,-117.20691,,,,,,,
Barra Barra Saloon,"4016 Wallace St, San Diego 92110",Old Town,32.755321,-117.197891,,,,,,,
Barrio Star,"2706 fifth ave, San Diego 92103",Middletown,32.733635,-117.160451,,,,,,,
Bean Voyage,"1455 Frazee Road, San Diego 92108",Mission Valley,32.773665,-117.1583,,,,,,,
Benny's Mexican Food,"1244 30th St, San Diego 92102",Golden Hill/South Park,32.718412,-117.129762,,,,,,,
Berta's Latin American,"3928 Twiggs St, San Diego 92110",Old Town,32.75246,-117.196752,,,,,,,
Black Cat Bar,"4246 University Avenue, San Diego, CA 92105",City Heights East,32.7498512,-117.1034059,,,,,,,
Bracero Cocina de Raiz,"1490 Kettner Boulevard, San Diego 92101",Little Italy,32.7208042,-117.169207,,,,,,,
Bravo's Mexican Bistro/Cantina,"5001 Newport Ave, San Diego 92107",Ocean Beach,32.746883,-117.251342,,,,,,,
Bravo's Taco Shop,"3815 Euclid Ave, San Diego 92105",City Heights East,32.747941,-117.092136,,,,,,,
Brianna’s Mexican Restaurant,"13230 Poway Rd, Poway 92064",Poway,32.9567421,-117.0440442,,,,,,,
Burrito King,"4737 Federal Blvd, San Diego 92102",Oak Park,32.721363,-117.093121,,,,,,,
Burritos Santana,"1337 Palm Ave, Imperial Beach 91932",Imperial Beach,32.5835658,-117.1042699,,,,,,,
Burritos Santana,"6545 University Ave, San Diego 92115",Rolando/Redwood Village,32.755222,-117.055789,,,,,,,
Burros & fries fresh mexican grill,"4705 Clairemont Dr, San Diego 92117",Clairemont,32.830951,-117.205678,,,,,,,
Burros and Fries,"3404 Palm Ave, San Diego 92154",Otay Mesa West,32.5843553,-117.0602105,,,,,,,
Cabais,"3952 Fourth Avenue, San Diego 92103",Hillcrest,32.749135,-117.161762,,,,,,,
Cabo Cantina,"1050 Garnet Avenue, San Diego 92109",Pacific Beach,32.797635,-117.250934,,,,,,,
Cafe 976,"976 Felspar Street, San Diego 92109",Pacific Beach,32.798321,-117.252644,,,,,,,
Cafe Coyote,"2461 San Diego Avenue, San Diego 92110",Old Town,32.75221,-117.194275,,,,,,,
Caliente's Mexican Food,"11815 Sorrento Valley Rd, San Diego 92121",Torrey Pines,32.915882,-117.236465,,,,,,,
California Burrito,"7754 Starling Dr, San Diego 92123",Serra Mesa,32.793147,-117.155923,,,,,,,
Camel's Breath Inn,"10330 Friars Rd, San Diego 92120",Grantville,32.790636,-117.104084,,,,,,,
Candelas,"416 3rd Avenue, San Diego 92101",Marina,32.709506,-117.162081,,,,,,,
Cantina Mayahuel,"2934 Adams Avenue, San Diego 92116",North Park,32.762886,-117.130762,,,,,,,
Carmen's Mexican,"4937 Diane Ave, San Diego 92117",Clairemont,32.835115,-117.186881,,,,,,,
Carnitas Las Michoacanas,"6513 University Ave, San Diego 92115",Rolando/Redwood Village,32.7552689,-117.0561973,,,,,,,
Casa 1915,"1649 El Prado, San Diego 92101",Balboa Park,32.7311102,-117.148621,,,,,,,
Casa Adams,"3038 Adams Avenue, San Diego 92116",North Park,32.76304,-117.129301,,,,,,,
Casa de Pico,"5500 Grossmont Center Dr, La Mesa 91942",La Mesa,32.779798,-117.009728,,,,,,,
Casa De Reyes,"Juan and Wallace, San Diego 92110",Old Town,32.75596,-117.197279,,,,,,,
Casa de Reyes at Fiesta de Reyes,"2754 Calhoun Street, San Diego 92110",Old Town,32.755123,-117.196848,,,,,,,
Casa Del Taco,"1635 Sweetwater Rd, National City 91950",National City,32.661568,-117.082265,,,,,,,
Casa Guadalajara,"4105 Taylor St, San Diego 92110",Old Town,32.757008,-117.198219,,,,,,,
Casa Machado,"3750 John J Montgomery Drive, San Diego 92123",Kearny Mesa,32.812185,-117.140362,,,,,,,
Casa Maria,"16375 Bernardo Center Dr, San Diego 92128",Rancho Bernardo,33.010845,-117.07895,,,,,,,
Casa Maya,"4006 30th Street, San Diego 92104",North Park,32.750539,-117.130362,,,,,,,
Casa Maya Cafe,"4201 Park Blvd, San Diego 92103",University Heights,32.754137,-117.146136,,,,,,,
Casa Medina,"5450 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.8346162,-117.1736343,,,,,,,
Casa Medina,"3450 El Cajon Blvd, San Diego 92104",City Heights East,32.755395,-117.11889,,,,,,,
Casa Reyes,"2707 Congress St, San Diego 92110",Old Town,32.753137,-117.197815,,,,,,,
Casa Sol Y Mar,"12865 El Camino Real, San Diego 92130",Carmel Valley,32.9512598,-117.2341751,,,,,,,
Casa Sonora's,"5413 Redwood St, San Diego 92105",Oak Park,32.7375818,-117.0787528,,,,,,,
Cat Eye Club,"370 7th Avenue, San Diego 92101",Gaslamp,32.7092092,-117.1583044,,,,,,,
Cbw- Crazy Bowls & Wraps,"665 San Rodolfo Dr, Solana Beach 92075",Solana Beach,32.9932623,-117.259137,,,,,,,
Cesar 7 Mares,"658 Hollister St, San Diego 92154",Egger Highlands,32.584461,-117.084262,,,,,,,
